date,country,event,importance,currency,unit,consensus,previous,actual,change,change_percent
2020-05-08 12:30:00,US,Unemployment Rate (Apr),High,USD,%,16.0,4.4,14.7,10.3,234.091
2020-05-08 12:30:00,US,Non Farm Payrolls (Apr),High,USD,K,-22000.0,-870.0,-20500.0,-19630.0,-2256.322
2020-05-12 12:30:00,US,Inflation Rate YoY (Apr),High,USD,%,0.4,1.5,0.3,-1.2,-80.0
2020-05-12 12:30:00,US,Core Inflation Rate YoY (Apr),High,USD,%,1.7,2.1,1.4,-0.7,-33.333
2020-05-15 12:30:00,US,Retail Sales MoM (Apr),High,USD,%,-12.0,-8.3,-16.4,-8.1,-97.59
2020-05-28 12:30:00,US,GDP Growth Rate QoQ (Q1),High,USD,%,-4.8,2.1,-5.0,-7.1,-338.095
2020-05-28 12:30:00,US,Durable Goods Orders MoM (Apr),High,USD,%,-19.0,-16.6,-17.2,-0.6,-3.614
2020-05-29 12:30:00,US,Core PCE Price Index YoY (Apr),High,USD,%,1.1,1.7,1.0,-0.7,-41.176
2020-06-05 12:30:00,US,Unemployment Rate (May),High,USD,%,19.8,14.7,13.3,-1.4,-9.524
2020-06-05 12:30:00,US,Non Farm Payrolls (May),High,USD,K,-8000.0,-20687.0,2509.0,23196.0,112.128
2020-06-10 12:30:00,US,Inflation Rate YoY (May),High,USD,%,0.2,0.3,0.1,-0.2,-66.667
2020-06-10 12:30:00,US,Core Inflation Rate YoY (May),High,USD,%,1.3,1.4,1.2,-0.2,-14.286
2020-06-16 12:30:00,US,Retail Sales MoM (May),High,USD,%,8.0,-14.7,17.7,32.4,220.408
2020-06-25 12:30:00,US,Durable Goods Orders MoM (May),High,USD,%,10.9,-18.1,15.8,33.9,187.293
2020-06-25 12:30:00,US,GDP Growth Rate QoQ (Q1),High,USD,%,-5.0,2.1,-5.0,-7.1,-338.095
2020-07-02 12:30:00,US,Non Farm Payrolls (Jun),High,USD,K,3000.0,2699.0,4800.0,2101.0,77.844
2020-07-02 12:30:00,US,Unemployment Rate (Jun),High,USD,%,12.3,13.3,11.1,-2.2,-16.541
2020-07-14 12:30:00,US,Inflation Rate YoY (Jun),High,USD,%,0.6,0.1,0.6,0.5,500.0
2020-07-16 12:30:00,US,Retail Sales MoM (Jun),High,USD,%,5.0,18.2,7.5,-10.7,-58.791
2020-07-27 12:30:00,US,Durable Goods Orders MoM (Jun),High,USD,%,7.0,15.1,7.3,-7.8,-51.656
2020-07-30 12:30:00,US,GDP Growth Rate QoQ Adv (Q2),High,USD,%,-34.1,-5.0,-32.9,-27.9,-558.0
2020-07-31 12:30:00,US,Core PCE Price Index YoY (Jun),High,USD,%,1.0,1.0,0.9,-0.1,-10.0
2020-08-07 12:30:00,US,Non Farm Payrolls (Jul),High,USD,K,1600.0,4800.0,1763.0,-3037.0,-63.271
2020-08-07 12:30:00,US,Unemployment Rate (Jul),High,USD,%,10.5,11.1,10.2,-0.9,-8.108
2020-08-12 12:30:00,US,Core Inflation Rate YoY (Jul),High,USD,%,1.1,1.2,1.6,0.4,33.333
2020-08-12 12:30:00,US,Inflation Rate YoY (Jul),High,USD,%,0.8,0.6,1.0,0.4,66.667
2020-08-14 12:30:00,US,Retail Sales MoM (Jul),High,USD,%,1.9,8.4,1.2,-7.2,-85.714
2020-08-26 12:30:00,US,Durable Goods Orders MoM (Jul),High,USD,%,4.3,7.7,11.2,3.5,45.455
2020-08-27 12:30:00,US,GDP Growth Rate QoQ (Q2),High,USD,%,-32.5,-5.0,-31.7,-26.7,-534.0
2020-08-28 12:30:00,US,Core PCE Price Index YoY (Jul),High,USD,%,1.2,1.1,1.3,0.2,18.182
2020-09-04 12:30:00,US,Unemployment Rate (Aug),High,USD,%,9.8,10.2,8.4,-1.8,-17.647
2020-09-04 12:30:00,US,Non Farm Payrolls (Aug),High,USD,K,1400.0,1734.0,1371.0,-363.0,-20.934
2020-09-11 12:30:00,US,Inflation Rate YoY (Aug),High,USD,%,1.2,1.0,1.3,0.3,30.0
2020-09-11 12:30:00,US,Core Inflation Rate YoY (Aug),High,USD,%,1.6,1.6,1.7,0.1,6.25
2020-09-16 12:30:00,US,Retail Sales MoM (Aug),High,USD,%,1.0,0.9,0.6,-0.3,-33.333
2020-09-25 12:30:00,US,Durable Goods Orders MoM (Aug),High,USD,%,1.5,11.7,0.4,-11.3,-96.581
2020-09-30 12:30:00,US,GDP Growth Rate QoQ (Q2),High,USD,%,-31.7,-5.0,-31.4,-26.4,-528.0
2020-10-01 12:30:00,US,Core PCE Price Index YoY (Aug),High,USD,%,1.4,1.4,1.6,0.2,14.286
2020-10-02 12:30:00,US,Unemployment Rate (Sep),High,USD,%,8.2,8.4,7.9,-0.5,-5.952
2020-10-02 12:30:00,US,Non Farm Payrolls (Sep),High,USD,K,850.0,1489.0,661.0,-828.0,-55.608
2020-10-13 12:30:00,US,Inflation Rate YoY (Sep),High,USD,%,1.4,1.3,1.4,0.1,7.692
2020-10-16 12:30:00,US,Retail Sales MoM (Sep),High,USD,%,0.7,0.6,1.9,1.3,216.667
2020-10-27 12:30:00,US,Durable Goods Orders MoM (Sep),High,USD,%,0.5,0.4,1.9,1.5,375.0
2020-10-29 12:30:00,US,GDP Growth Rate QoQ Adv (Q3),High,USD,%,31.0,-31.4,33.1,64.5,205.414
2020-10-30 12:30:00,US,Core PCE Price Index YoY (Sep),High,USD,%,1.7,1.4,1.5,0.1,7.143
2020-11-06 13:30:00,US,Non Farm Payrolls (Oct),High,USD,K,600.0,672.0,638.0,-34.0,-5.06
2020-11-06 13:30:00,US,Unemployment Rate (Oct),High,USD,%,7.7,7.9,6.9,-1.0,-12.658
2020-11-12 13:30:00,US,Inflation Rate YoY (Oct),High,USD,%,1.3,1.4,1.2,-0.2,-14.286
2020-11-12 13:30:00,US,Core Inflation Rate YoY (Oct),High,USD,%,1.8,1.7,1.6,-0.1,-5.882
2020-11-17 13:30:00,US,Retail Sales MoM (Oct),High,USD,%,0.5,1.6,0.3,-1.3,-81.25
2020-11-25 13:30:00,US,Durable Goods Orders MoM (Oct),High,USD,%,0.9,2.1,1.3,-0.8,-38.095
2020-11-25 13:30:00,US,GDP Growth Rate QoQ (Q3),High,USD,%,33.2,-31.4,33.1,64.5,205.414
2020-11-25 15:00:00,US,Core PCE Price Index YoY (Oct),High,USD,%,1.4,1.6,1.4,-0.2,-12.5
2020-12-04 13:30:00,US,Unemployment Rate (Nov),High,USD,%,6.8,6.9,6.7,-0.2,-2.899
2020-12-04 13:30:00,US,Non Farm Payrolls (Nov),High,USD,K,469.0,610.0,245.0,-365.0,-59.836
2020-12-16 13:30:00,US,Retail Sales MoM (Nov),High,USD,%,-0.3,-0.1,-1.1,-1.0,-1000.0
2020-12-22 13:30:00,US,GDP Growth Rate QoQ (Q3),High,USD,%,33.1,-31.4,33.4,64.8,206.369
2020-12-23 13:30:00,US,Durable Goods Orders MoM (Nov),High,USD,%,0.6,1.8,0.9,-0.9,-50.0
2021-01-08 13:30:00,US,Non Farm Payrolls (Dec),High,USD,K,71.0,336.0,-140.0,-476.0,-141.667
2021-01-13 13:30:00,US,Inflation Rate YoY (Dec),High,USD,%,1.3,1.2,1.4,0.2,16.667
2021-01-27 13:30:00,US,Durable Goods Orders MoM (Dec),High,USD,%,0.9,1.2,0.2,-1.0,-83.333
2021-01-28 13:30:00,US,GDP Growth Rate QoQ Adv (Q4),High,USD,%,4.0,33.4,4.0,-29.4,-88.024
2021-01-29 13:30:00,US,Core PCE Price Index YoY (Dec),High,USD,%,1.3,1.4,1.5,0.1,7.143
2021-02-05 13:30:00,US,Unemployment Rate (Jan),High,USD,%,6.7,6.7,6.3,-0.4,-5.97
2021-02-05 13:30:00,US,Non Farm Payrolls (Jan),High,USD,K,50.0,-227.0,49.0,276.0,121.586
2021-02-10 13:30:00,US,Core Inflation Rate YoY (Jan),High,USD,%,1.5,1.6,1.4,-0.2,-12.5
2021-02-17 13:30:00,US,Retail Sales MoM (Jan),High,USD,%,1.1,-1.0,5.3,6.3,630.0
2021-02-25 13:30:00,US,Durable Goods Orders MoM (Jan),High,USD,%,1.1,1.2,3.4,2.2,183.333
2021-02-25 13:30:00,US,GDP Growth Rate QoQ (Q4),High,USD,%,4.2,33.4,4.1,-29.3,-87.725
2021-02-26 13:30:00,US,Core PCE Price Index YoY (Jan),High,USD,%,1.4,1.4,1.5,0.1,7.143
2021-03-05 13:30:00,US,Unemployment Rate (Feb),High,USD,%,6.3,6.3,6.2,-0.1,-1.587
2021-03-05 13:30:00,US,Non Farm Payrolls (Feb),High,USD,K,182.0,166.0,379.0,213.0,128.313
2021-03-10 13:30:00,US,Inflation Rate YoY (Feb),High,USD,%,1.7,1.4,1.7,0.3,21.429
2021-03-10 13:30:00,US,Core Inflation Rate YoY (Feb),High,USD,%,1.4,1.4,1.3,-0.1,-7.143
2021-03-16 12:30:00,US,Retail Sales MoM (Feb),High,USD,%,-0.5,7.6,-3.0,-10.6,-139.474
2021-03-24 12:30:00,US,Durable Goods Orders MoM (Feb),High,USD,%,0.8,3.5,-1.1,-4.6,-131.429
2021-03-25 12:30:00,US,GDP Growth Rate QoQ (Q4),High,USD,%,4.1,33.4,4.3,-29.1,-87.126
2021-03-26 12:30:00,US,Core PCE Price Index YoY (Feb),High,USD,%,1.5,1.5,1.4,-0.1,-6.667
2021-04-02 12:30:00,US,Unemployment Rate (Mar),High,USD,%,6.0,6.2,6.0,-0.2,-3.226
2021-04-02 12:30:00,US,Non Farm Payrolls (Mar),High,USD,K,647.0,468.0,916.0,448.0,95.726
2021-04-13 12:30:00,US,Core Inflation Rate YoY (Mar),High,USD,%,1.5,1.3,1.6,0.3,23.077
2021-04-13 12:30:00,US,Inflation Rate YoY (Mar),High,USD,%,2.5,1.7,2.6,0.9,52.941
2021-04-15 12:30:00,US,Retail Sales MoM (Mar),High,USD,%,5.9,-2.7,9.8,12.5,462.963
2021-04-26 12:30:00,US,Durable Goods Orders MoM (Mar),High,USD,%,2.5,-0.9,0.5,1.4,155.556
2021-04-29 12:30:00,US,GDP Growth Rate QoQ Adv (Q1),High,USD,%,6.1,4.3,6.4,2.1,48.837
2021-04-30 12:30:00,US,Core PCE Price Index YoY (Mar),High,USD,%,1.8,1.4,1.8,0.4,28.571
2021-05-07 12:30:00,US,Non Farm Payrolls (Apr),High,USD,K,978.0,770.0,266.0,-504.0,-65.455
